Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Andre Johnson*+,HOU,27,WR,16,16,171,115,67.3%,1575,13.7,8,79,62.6,65,9.2,7.2,98.4,1,JohnAn02
2,Wes Welker*,NWE,27,WR,16,14,149,111,74.5%,1165,10.5,3,57,58.4,64,7.8,6.9,72.8,1,WelkWe00
3,Brandon Marshall*,DEN,24,WR,15,15,181,104,57.5%,1265,12.2,6,67,50.8,47,7.0,6.9,84.3,4,MarsBr00
4,Larry Fitzgerald*+,ARI,25,WR,16,16,154,96,62.3%,1431,14.9,12,66,58.4,78,9.3,6.0,89.4,1,FitzLa00
5,Tony Gonzalez*+,KAN,32,TE,16,16,155,96,61.9%,1058,11.0,10,66,55.5,35,6.8,6.0,66.1,0,GonzTo00
6,T.J. Houshmandzadeh,CIN,31,WR,15,15,137,92,67.2%,904,9.8,4,51,54.7,46,6.6,6.1,60.3,0,HousTJ00
7,Eddie Royal,DEN,22,WR,15,15,129,91,70.5%,980,10.8,5,43,60.5,93,7.6,6.1,65.3,2,RoyaEd00
8,Anquan Boldin*,ARI,28,WR,12,11,127,89,70.1%,1038,11.7,11,56,56.7,79,8.2,7.4,86.5,4,BoldAn00
9,Roddy White*,ATL,27,WR,16,15,148,88,59.5%,1382,15.7,7,60,55.4,70,9.3,5.5,86.4,1,WhitRo00
10,Dwayne Bowe,KAN,24,WR,16,16,157,86,54.8%,1022,11.9,7,49,47.1,36,6.5,5.4,63.9,0,BoweDw00
11,Antonio Bryant,TAM,27,WR,16,15,138,83,60.1%,1248,15.0,7,58,54.3,71,9.0,5.2,78.0,1,BryaAn00
12,Chris Cooley*,WAS,26,TE,16,16,111,83,74.8%,849,10.2,1,43,62.2,28,7.6,5.2,53.1,3,CoolCh00
13,Reggie Wayne*,IND,30,WR,16,16,131,82,62.6%,1145,14.0,6,65,58.0,65,8.7,5.1,71.6,0,WaynRe00
14,Hines Ward,PIT,32,WR,16,15,124,81,65.3%,1043,12.9,7,55,57.3,49,8.4,5.1,65.2,1,WardHi00
15,Jason Witten*,DAL,26,TE,16,16,121,81,66.9%,952,11.8,4,49,54.5,42,7.9,5.1,59.5,0,WittJa00
16,Greg Jennings,GNB,25,WR,16,15,140,80,57.1%,1292,16.2,9,55,50.7,63,9.2,5.0,80.8,1,JennGr00
17,Derrick Mason,BAL,34,WR,16,16,121,80,66.1%,1037,13.0,5,60,57.0,54,8.6,5.0,64.8,2,MasoDe00
18,Lance Moore,NOR,25,WR,16,6,121,79,65.3%,928,11.7,10,40,52.1,70,7.7,4.9,58.0,1,MoorLa00
19,Santana Moss,WAS,29,WR,16,16,138,79,57.2%,1044,13.2,6,50,47.8,67,7.6,4.9,65.3,1,MossSa00
20,Calvin Johnson,DET,23,WR,16,16,150,78,52.0%,1331,17.1,12,52,47.3,96,8.9,4.9,83.2,3,JohnCa00
21,Steve Smith Sr.*,CAR,29,WR,14,14,129,78,60.5%,1421,18.2,6,59,56.6,65,11.0,5.6,101.5,1,SmitSt01
22,Steve Breaston,ARI,25,WR,16,9,113,77,68.1%,1006,13.1,3,44,56.6,58,8.9,4.8,62.9,1,BreaSt00
23,Dallas Clark,IND,29,TE,15,15,107,77,72.0%,848,11.0,6,41,61.7,33,7.9,5.1,56.5,2,ClarDa00
