"","player_name","Pos","Tm","player_id","pic","season","Games","Targets","Tar_Per_Game","RECs","Rec_Yards","Rec_TDs","YAC","First_Downs","Air_Yards","AY_share","EPA","RACR","WOPR","PPR_Points","FPPG"
"1","C.Lamb","WR","DAL","00-0036358","https://static.www.nfl.com/image/private/f_autoq_auto/league/cqygs9e4ynnjdxstdfjq","2023",17,181,10.6,135,1749,12,680,680,1722,0.360989582135229,102.46698511857,1.01567944250871,0.692417781296291,405,23.8
"2","T.Hill","WR","MIA","00-0033040","https://static.www.nfl.com/image/private/f_autoq_auto/league/lsszbdnkusxc7mduw5be","2023",16,171,10.7,119,1799,13,652,652,1847,0.439952745446501,92.6958312851282,0.974011911207363,0.80320246657578,376,23.5
"3","K.Allen","WR","LAC","00-0030279","https://static.www.nfl.com/image/private/f_autoq_auto/league/xs7h2igf85nta81v7zb8","2023",13,150,11.5,108,1243,7,396,396,1452,0.417107575792262,60.8332725681973,0.856060606060606,0.762858519311991,279,21.5
"4","A.St. Brown","WR","DET","00-0036963","https://static.www.nfl.com/image/private/f_autoq_auto/league/ubbam2rpn7xfbhvzvjyn","2023",16,164,10.2,119,1515,10,668,668,1271,0.333915992392381,72.2909331420671,1.19197482297404,0.676879342769523,331,20.7
"5","J.Jefferson","WR","MIN","00-0036322","https://static.www.nfl.com/image/private/f_autoq_auto/league/zdstmm4sloqnichybgja","2023",10,100,10,68,1074,5,260,260,1258,0.411150420916404,42.8227059184397,0.853736089030207,0.709846252721206,204,20.4
"6","P.Nacua","WR","LA","00-0039075","https://static.www.nfl.com/image/private/f_autoq_auto/league/br1ovzclyrebrec6q0mp","2023",17,160,9.4,105,1486,6,639,639,1453,0.326889856393808,67.8077402600768,1.02271163110805,0.658573480794622,298,17.5
"7","N.Collins","WR","HOU","00-0036554","https://static.www.nfl.com/image/private/f_autoq_auto/league/iyfqbpftpdxtwst9wtda","2023",15,109,7.3,80,1297,8,549,549,1186,0.296708780892313,71.1038817488481,1.09359190556492,0.548561182985467,260,17.3
"8","A.Brown","WR","PHI","00-0035676","https://static.www.nfl.com/image/private/f_autoq_auto/league/a014sgzctarbvhwb35lw","2023",17,158,9.3,106,1456,7,473,473,1853,0.41769978534577,65.8728374935167,0.785752833243389,0.747900175347546,290,17.1
"9","D.Moore","WR","CHI","00-0034827","https://static.www.nfl.com/image/private/f_autoq_auto/league/fuhd1intilojmnbx7wjq","2023",17,136,8,96,1364,8,539,539,1476,0.431224953553795,66.1822347027447,0.924119241192412,0.744150303413364,286,16.8
"10","M.Williams","WR","LAC","00-0033536","https://static.www.nfl.com/image/private/f_autoq_auto/league/oaa76gdfwdhaum4b5qkh","2023",3,26,8.7,19,249,1,108,108,307,0.295137557350302,12.8527149014459,0.811074918566775,0.537241451435534,50,16.7
"11","M.Evans","WR","TB","00-0031408","https://static.www.nfl.com/image/private/f_autoq_auto/league/w6eq27k2xs8vawwgkzbl","2023",17,136,8,79,1255,13,322,322,1906,0.404311363062985,55.035503656353,0.658447009443861,0.660866640190517,282,16.6
"12","T.Dell","WR","HOU","00-0038977","https://static.www.nfl.com/image/private/f_autoq_auto/league/vxkqythvtp5ujzpqlvsk","2023",10,75,7.5,47,709,7,152,152,1070,0.312278439853308,31.0222832701029,0.662616822429906,0.534129904439624,165,16.5
"13","J.Chase","WR","CIN","00-0036900","https://static.www.nfl.com/image/private/f_autoq_auto/league/xqhrnv1bfpl2zmhpqobq","2023",16,145,9.1,100,1216,7,541,541,1254,0.354685719882825,60.5472326947734,0.96969696969697,0.638998420952357,263,16.4
"14","D.Samuel","WR","SF","00-0035719","https://static.www.nfl.com/image/private/f_autoq_auto/league/ciwaktyqewczcquks4wy","2023",15,89,5.9,60,892,7,527,527,586,NA,NA,1.5221843003413,NA,244,16.3
"15","S.Diggs","WR","BUF","00-0031588","https://static.www.nfl.com/image/private/f_autoq_auto/league/zf6nbnzcfzu4y7yq2nzk","2023",17,160,9.4,107,1183,8,399,399,1658,0.33953423527796,38.231095169306,0.71351025331725,0.688722507830372,274,16.1
"16","M.Pittman","WR","IND","00-0036252","https://static.www.nfl.com/image/private/f_autoq_auto/league/wnymcombo2plamteihiy","2023",16,156,9.8,109,1152,4,513,513,1227,0.338755045727305,25.9837844796588,0.938875305623472,0.693250942296761,252,15.8
"17","B.Aiyuk","WR","SF","00-0036261","https://static.www.nfl.com/image/private/f_autoq_auto/league/mprcyhqhfgzi57ebelbz","2023",16,105,6.6,75,1342,7,362,362,1467,0.406834073200136,81.7904670821315,0.914792092706203,0.653264894861225,249,15.6
"18","D.Adams","WR","LV","00-0031381","https://static.www.nfl.com/image/private/f_autoq_auto/league/grvqvmdzu2lsbgvqoxku","2023",17,175,10.3,103,1144,8,336,336,1896,0.447612854351746,13.4814386995789,0.60337552742616,0.801159898883585,265,15.6
"19","A.Cooper","WR","CLE","00-0031544","https://static.www.nfl.com/image/private/f_autoq_auto/league/zibbxjtein7gpu5zgcj4","2023",15,128,8.5,72,1250,5,271,271,1834,0.410462637957513,45.9914847810542,0.681570338058888,0.642379275769272,227,15.1
"20","C.Olave","WR","NO","00-0037239","https://static.www.nfl.com/image/private/f_autoq_auto/league/vtfhbyz1ofg6cgxxulw4","2023",16,138,8.6,87,1123,5,347,347,1834,0.398542787107927,42.3454927947194,0.612322791712105,0.650378778254658,231,14.4
"21","D.Smith","WR","PHI","00-0036912","https://static.www.nfl.com/image/private/f_autoq_auto/league/f8nowzare3wd2qw4jx7d","2023",16,112,7,81,1066,7,294,294,1350,0.340846971418439,34.968787702106,0.78962962962963,0.584457894178101,228,14.2
"22","J.Waddle","WR","MIA","00-0036613","https://static.www.nfl.com/image/private/f_autoq_auto/league/qjsz2h6shbdnksctzeka","2023",14,104,7.4,72,1014,4,421,421,1051,0.342866883404999,45.9569177055652,0.964795432921028,0.592978863905349,199,14.2
