"","name","college","position","id","age","birthDate","draftYear","draftRound","pickInDraftRound","draftPick"
"1","Marvin Harrison Jr.","Ohio State","WR",NA,21.8,2002-08-11,2024,1,4,NA
"2","Malik Nabers","LSU","WR",NA,20.9,2003-07-28,2024,1,6,NA
"3","Rome Odunze","Washington","WR",NA,22,2002-06-03,2024,1,9,NA
"4","Keon Coleman","Florida State","WR",NA,21.1,2003-05-17,2024,2,1,NA
"5","Brian Thomas Jr.","LSU","WR",NA,21.7,2002-10-08,2024,1,23,NA
"6","Troy Franklin","Oregon","WR",NA,21.3,2003-02-06,2024,4,2,NA
"7","Xavier Worthy","Texas","WR",NA,21.1,2003-04-27,2024,1,28,NA
"8","Devontez Walker","North Carolina","WR",NA,23,2001-06-19,2024,4,13,NA
"9","Ricky Pearsall","Florida","WR",NA,23.7,2000-09-09,2024,1,31,NA
"10","Brenden Rice","USC","WR",NA,22.2,2002-03-18,2024,7,5,NA
"11","Jamari Thrash","Louisville","WR",NA,23.5,2000-12-19,2024,5,21,NA
"12","Johnny Wilson","Florida State","WR",NA,23.2,2001-04-03,2024,6,9,NA
"13","Adonai Mitchell","Texas","WR",NA,21.7,2002-10-08,2024,2,20,NA
"14","Ladd McConkey","Georgia","WR",NA,22.6,2001-11-01,2024,2,2,NA
"15","Jalen McMillan","Washington","WR",NA,22.5,2001-12-07,2024,3,28,NA
"16","Roman Wilson","Michigan","WR",NA,23,2001-06-19,2024,3,20,NA
"17","Isaiah Williams","Illinois","WR",NA,23.4,2001-01-29,2024,NA,NA,NA
"18","Ja'Lynn Polk","Washington","WR",NA,22.2,2002-04-11,2024,2,5,NA
"19","Jermaine Burton","Alabama","WR",NA,22.9,2001-06-28,2024,3,16,NA
"20","Jordan Whittington","Texas","WR",NA,23.7,2000-10-01,2024,6,37,NA
"21","Xavier Weaver","Colorado","WR",NA,23.7,2000-10-12,2024,NA,NA,NA
"22","Luke McCaffrey","Rice","WR",NA,23.2,2001-04-02,2024,3,36,NA
"23","Malachi Corley","Western Kentucky","WR",NA,22.2,2002-03-21,2024,3,1,NA
"24","Javon Baker","UCF","WR",NA,22.3,2002-02-18,2024,4,10,NA
"25","Zakhari Franklin","Mississippi","WR",NA,NA,NA,2024,NA,NA,NA
"26","Xavier Legette","South Carolina","WR",NA,23.4,2001-01-29,2024,1,32,NA
"27","Jacob Cowing","Arizona","WR",NA,23.3,2001-02-04,2024,4,35,NA
"28","Malik Washington","Virginia","WR",NA,23.4,2001-01-04,2024,6,8,NA
"29","Ainias Smith","Texas A&M","WR",NA,23,2001-05-31,2024,5,17,NA
"30","Anthony Gould","Oregon State","WR",NA,23.2,2001-04-06,2024,5,7,NA
"31","Bub Means","Pittsburgh","WR",NA,23.4,2001-01-10,2024,5,35,NA
"32","Jha'Quan Jackson","Tulane","WR",NA,24.1,2000-05-15,2024,6,6,NA
"33","Casey Washington","Illinois","WR",NA,23.3,2001-03-06,2024,6,11,NA
"34","Tejhaun Palmer","UAB","WR",NA,24.1,2000-05-19,2024,6,15,NA
"35","Ryan Flournoy","Southeast Missouri State","WR",NA,24.6,1999-10-27,2024,6,40,NA
"36","Devaughn Vele","Utah","WR",NA,26.5,1997-12-12,2024,7,15,NA
"37","Tahj Washington","USC","WR",NA,23.1,2001-05-16,2024,7,21,NA
"38","Cornelius Johnson","Michigan","WR",NA,23.5,2000-11-29,2024,7,33,NA
"39","Joshua Cephus","UTSA","WR",NA,23.3,2001-03-05,2024,NA,NA,NA
"40","Jalen Coker","Holy Cross","WR",NA,NA,NA,2024,NA,NA,NA
"41","Tyler Harrell","Miami (FL)","WR",NA,23.8,2000-08-01,2024,NA,NA,NA
"42","Marcus Rosemy-Jacksaint","Georgia","WR",NA,22.4,2002-01-08,2024,NA,NA,NA
"43","Dayton Wade","Ole Miss","WR",NA,23.7,2000-09-08,2024,NA,NA,NA
"44","David White","Western Carolina","WR",NA,23.9,2000-07-18,2024,NA,NA,NA
"45","Kyle Sheets","Slippery Rock","WR",NA,23.7,2000-09-24,2024,NA,NA,NA
"46","Isaiah Wooden","Southern Utah","WR",NA,24.3,2000-02-03,2024,NA,NA,NA
"47","Lideatrick Griffin","Mississippi State","WR",NA,23.4,2001-01-23,2024,NA,NA,NA
"48","Cole Burgess","SUNY-Cortland","WR",NA,24.3,2000-02-11,2024,NA,NA,NA
"49","Xavier Johnson","Ohio State","WR",NA,25.1,1999-05-11,2024,NA,NA,NA
"50","Drake Stoops","Oklahoma","WR",NA,25,1999-06-16,2024,NA,NA,NA
"51","Jalin Hyatt","Tennessee","WR","00-0038938",22.7,2001-09-25,2023,3,10,"73"
"52","Jayden Reed","Michigan State","WR","00-0039146",24.1,2000-04-28,2023,2,19,"50"
"53","Jaxon Smith-Njigba","Ohio State","WR","00-0038543",22.3,2002-02-14,2023,1,20,"20"
"54","Jordan Addison","USC","WR","00-0038994",22.4,2002-01-27,2023,1,23,"23"
"55","Josh Downs","North Carolina","WR","00-0038997",22.8,2001-08-12,2023,3,16,"79"
"56","Quentin Johnston","TCU","WR","00-0038544",22.8,2001-09-06,2023,1,21,"21"
"57","Marvin Mims","Oklahoma","WR","00-0038976",22.2,2002-03-19,2023,2,32,"63"
"58","Zay Flowers","Boston College","WR","00-0039064",23.7,2000-09-11,2023,1,22,"22"
"59","Cedric Tillman","Tennessee","WR","00-0038979",24.1,2000-04-19,2023,3,11,"74"
"60","Parker Washington","Penn State","WR","00-0038606",22.2,2002-03-21,2023,6,8,"185"
