Player|Season,Player,Team,Tm|Szn,Season,PPR Total,Rank,PPG,PPG Rank,Pt/Touch,Age,Career Year,G,% of G,Snaps,Snaps/G,Snap%,routes,Slot%,Targets,Deep Targets,Contest Tgts,REC,Contest RECs,REC Yds,Air Yds,YAC,Air YAC,REC TDs,REC 1st Downs,REC Fmb,REC Fmb Lost,Missed Tkl,Drops,REC 2 PT,Routes/G,Targets/G,REC/G,REC Yds/G,Air Yds/G,YAC/G,Air YAC/G,REC TDs/G,REC FD/G,Missed Tkl/G,Targets/Route,Yds/Route,Air Yds/ Route,Target%,Catch%,Deep Ball%,Contested Catch%,Yds/REC,Yds/ REC TD,REC Yds/ATT,Air Yds%,aDOT,AVG YAC Over EXP,TD%,REC DOM,WOPR,RACR,REC EPA,Tgt QB Rating,PFF REC Grade,Drop%,Cushion,Separation,TM Snaps,TM PA,TM RA,TM RuYds,TM RuTDs,TM OPPs,TM Targets,TM RecYds,TM Air Yds,TM RecTDs,Touches,Scrim Yds,Scrim TDs,Return TDs,Missed Tkl,Yds/ TM ATT,EPA,EPA/ Touch,2 PT,Touch/G,Yds/G,TDs/G,Missed Tkl/G,Juke Rate,EPA/G,DLF May ADP,Weekly Top 5,Weekly Top 5%,Weekly Top 12,Weekly Top 12%,Weekly Top 24,Weekly Top 24%,TOP 5 Szns,TOP 12 Szns,TOP 24 Szns,% TOP 5 Szns,% TOP 12 Szns,% TOP 24 Szns,Draft Year,Draft Round,Draft Pick
Travis Kelce|2022,Travis Kelce,KC,KC|2022,2022,306.5,1,19.2,1,2.9,32,10,16,100.0%,871,54.4,79.9%,573,44.7%,145,11,19,104,7,1300,1053,637,1690,12,76,1,1,24,6,1,35.8,9.1,6.5,81.3,7.3,39.8,105.6,0.75,4.8,1.5,0.25,2.30,1.84,24.5%,72.0%,7.6%,36.8%,12.5,108.3,2.08,24.5%,7.3,1.38,0.115,27.9%,54.00%,1.23,65.6,119.8,91.5,4.1%,6.28,2.88,1090,626,389,1802,15,426,591,5048,4284,40,106,1305,12,0,24,1.20,66.1,0.62,1,6.6,81.6,0.75,1.5,0.226,4.13,36.5,11,68.8%,13,81.3%,16,100.0%,7,9,9,70.0%,90.0%,90.0%,2013,3,63
TJ Hockenson|2022,TJ Hockenson,MIN,MIN|2022,2022,212.8,2,13.3,2,2.5,25,4,16,100.0%,954,59.6,87.1%,558,34.1%,128,10,29,85,15,898,976,402,1378,6,43,1,1,8,6,2,34.9,8.0,5.3,56.1,7.6,25.1,86.1,0.38,2.7,0.5,0.23,1.60,1.75,21.2%,66.0%,7.8%,51.7%,10.6,149.7,1.44,19.1%,7.6,1.48,0.071,19.7%,45.20%,0.92,0.8,93.5,73.5,4.7%,6.25,2.96,1095,623,383,1716,15,431,603,4617,5103,30,85,898,6,0,8,0.82,0.8,0.01,2,5.3,56.1,0.38,0.5,0.094,0.05,63.3,4,25.0%,10,62.5%,15,93.8%,2,2,3,50.0%,50.0%,75.0%,2019,1,8
Mark Andrews|2022,Mark Andrews,BAL,BAL|2022,2022,190.5,3,12.7,4,2.5,26,5,15,93.8%,787,52.5,82.8%,435,66.3%,113,12,19,73,9,847,1105,243,1348,5,48,1,0,3,4,1,29.0,7.5,4.9,56.5,9.8,16.2,89.9,0.33,3.2,0.2,0.26,1.90,2.54,28.2%,65.0%,10.6%,47.4%,11.6,169.4,2.01,33.5%,9.8,0.19,6.8%,29.1%,65.70%,0.77,24.1,92.4,78.9,3.5%,6.01,3.06,950,422,459,2422,11,344,401,2783,3296,18,76,855,5,0,3,0.90,28.1,0.37,1,5.1,57.0,0.33,0.2,3.9%,1.87,25.8,5,33.3%,9,60.0%,13,86.7%,3,4,5,60.0%,80.0%,100.0%,2018,3,86
George Kittle|2022,George Kittle,SF,SF|2022,2022,181.6,4,13.0,3,3.2,28,6,14,87.5%,815,58.2,91.2%,419,30.2%,80,7,14,56,8,736,525,372,897,9,33,1,1,10,2,0,29.9,5.7,4.0,52.6,6.6,26.6,64.1,0.64,2.4,0.7,0.19,1.80,1.25,18.4%,70.0%,8.8%,57.1%,13.1,81.8,1.67,17.9%,6.6,1.54,16.1%,27.8%,40.20%,1.40,36.6,134.9,81.5,2.5%,5.56,3.25,894,440,385,1826,15,422,434,3523,2934,26,56,736,9,0,10,0.82,36.6,0.65,0,4.0,52.6,0.64,0.7,17.9%,2.61,43.7,5,35.7%,7,50.0%,10,71.4%,4,4,6,66.7%,66.7%,100.0%,2017,5,146
Evan Engram|2022,Evan Engram,JAX,JAX|2022,2022,170.2,5,10.6,8,2.4,27,6,16,100.0%,825,51.6,76.8%,495,39.6%,94,9,14,69,6,739,606,446,1052,4,31,0,0,10,3,1,30.9,5.9,4.3,46.2,6.4,27.9,65.8,0.25,1.9,0.6,0.19,1.50,1.22,17.2%,73.0%,9.6%,42.9%,10.7,184.8,1.31,15.3%,6.4,1.03,5.80%,17.7%,36.60%,1.22,33.1,111.4,66.8,3.2%,6.97,3.27,1074,564,434,2097,16,449,545,3936,3966,24,71,752,4,0,10,0.70,33.5,0.47,1,4.4,47.0,0.25,0.6,14.10%,2.09,179.5,4,25.0%,8,50.0%,10,62.5%,2,2,6,33.3%,33.3%,100.0%,2017,1,23
Pat Freiermuth|2022,Pat Freiermuth,PIT,PIT|2022,2022,148.2,6,9.9,9,2.4,23,2,15,93.8%,697,46.5,68.1%,416,0.35,96,7,23,63,10,732,797,291,1088,2,37,0,0,11,3,0,27.7,6.4,4.2,48.8,8.3,19.4,72.5,0.13,2.5,0.7,0.23,1.80,1.92,19.3%,0.66,0.073,0.435,11.6,366.0,1.43,19.6%,8.3,1.26,3.2%,22.4%,42.70%,0.92,10.5,79.7,80.7,0.031,6.29,2.70,1023,512,434,1852,14,443,497,3255,3978,9,63,732,2,0,11,0.72,10.5,0.17,0,4.2,48.8,0.13,0.7,17.5%,0.70,92.7,2,13.3%,9,60.0%,11,73.3%,0,1,2,0.0%,50.0%,100.0%,2021,2,55
Tyler Higbee|2022,Tyler Higbee,LA,LA|2022,2022,144.7,7,9.0,13,2.1,29,7,16,100.0%,834,52.1,86.7%,413,13.6%,101,1,11,68,2,587,319,376,695,3,30,0,0,6,6,0,25.8,6.3,4.3,36.7,3.2,23.5,43.4,0.19,1.9,0.4,0.24,1.40,0.77,20.5%,67.0%,1.0%,18.2%,8.6,195.7,1.16,9.3%,3.2,0.21,0.044,18.1%,37.20%,1.84,4.9,82.3,65.3,5.9%,5.71,3.53,962,505,383,1515,14,393,493,3359,3430,16,68,587,3,0,6,0.61,4.9,0.07,0,4.3,36.7,0.19,0.4,0.088,0.31,191.0,4,25.0%,7,43.8%,9,56.3%,0,2,4,0.0%,28.6%,57.1%,2016,4,110
Taysom Hill|2022,Taysom Hill,NO,NO|2022,2022,142.2,8,9.5,12,1.4,32,6,15,93.8%,308,20.5,33.4%,115,24.5%,12,2,2,8,0,75,77,33,110,2,5,0,0,2,2,0,7.7,0.8,0.5,5.0,6.4,2.2,7.3,0.13,0.3,0.1,0.10,0.70,0.67,2.7%,67.0%,16.7%,0.0%,9.4,37.5,0.17,2.0%,6.4,-,0.25,0.056,5.50%,0.97,4.0,130.7,52.5,16.7%,-,-,923,446,411,1755,11,377,438,3445,3707,22,99,626,9,0,12,0.68,33.8,0.34,0,6.6,41.7,0.60,0.8,0.121,2.25,215.2,2,13.3%,5,33.3%,9,60.0%,0,1,1,0.0%,16.7%,16.7%,2017,UDFA,UDFA
Dalton Schultz|2022,Dalton Schultz,DAL,DAL|2022,2022,135.4,9,9.7,11,2.6,26,5,14,87.5%,759,54.2,78.7%,380,36.9%,80,4,13,53,8,544,556,198,754,5,26,1,1,6,5,0,27.1,5.7,3.8,38.9,7.0,14.1,53.9,0.36,1.9,0.4,0.21,1.40,1.46,18.1%,66.0%,5.0%,61.5%,10.3,108.8,1.21,15.9%,7.0,0.37,9.4%,18.0%,38.30%,0.98,-0.1,82.4,64.8,6.3%,6.08,2.87,964,449,448,1924,22,477,441,3387,3501,25,53,544,5,0,6,0.56,-0.1,0.00,0,3.8,38.9,0.36,0.4,11.3%,-0.01,96.3,6,42.9%,7,50.0%,10,71.4%,1,2,3,20.0%,40.0%,60.0%,2018,4,137
Juwan Johnson|2022,Juwan Johnson,NO,NO|2022,2022,131.7,10,8.8,15,3.2,25,3,15,93.8%,607,40.5,65.1%,347,50.3%,64,3,11,41,4,487,569,171,740,7,24,0,0,8,3,0,23.1,4.3,2.7,32.5,8.9,11.4,49.3,0.47,1.6,0.5,0.18,1.40,1.64,14.3%,64.0%,4.7%,36.4%,11.9,69.6,1.06,14.0%,8.9,1.11,17.1%,22.8%,31.20%,0.86,14.8,117.8,66.8,4.7%,5.57,2.60,933,458,408,1773,12,376,449,3548,3958,22,41,487,7,0,8,0.52,14.8,0.36,0,2.7,32.5,0.47,0.5,19.5%,0.99,-,3,20.0%,5,33.3%,10,66.7%,0,1,1,0.0%,33.3%,33.3%,2020,UDFA,UDFA
